episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,100251.46582782087,0.0025146582782087368,0.21689444087975313,nan,nan
2,100684.95939942938,0.006849593994293857,0.038615121170874046,nan,nan
3,100308.75717387312,0.0030875717387313095,0.00011386210203343037,nan,nan
4,100715.30255202796,0.007153025520279632,9.94991008172797e-05,nan,nan
5,102083.13764524851,0.02083137645248523,0.0001029170546103675,100725.57271345521,0.007255727134552137
6,100587.51796735407,0.005875179673540787,0.00017081150612329146,nan,nan
7,105260.3821712801,0.05260382171280109,0.000248967291506219,nan,nan
8,102768.08948619009,0.02768089486190095,0.0005964726054588834,nan,nan
9,103403.7057654258,0.03403705765425791,0.0006369345485723967,nan,nan
10,104426.90052235516,0.044269005223551705,0.0007991895534618044,100213.47254025273,0.0021347254025272377
11,102744.29735463727,0.027442973546372595,0.0009509500185368864,nan,nan
12,100889.99453940016,0.008899945394001518,0.0009676582986384635,nan,nan
13,100930.41163892188,0.009304116389218908,0.0008979480084647803,nan,nan
14,100629.30570957394,0.006293057095739352,0.00085620539603747,nan,nan
15,102208.70154980573,0.02208701549805725,0.0008040867790105841,101089.28512956618,0.010892851295661865
16,105572.8830958673,0.05572883095867298,0.0008123101869862569,nan,nan
17,102362.19769700928,0.023621976970092717,0.0008909638687024203,nan,nan
18,100880.14326661591,0.008801432666159181,0.0008607437311364397,nan,nan
19,103056.54771550767,0.030565477155076737,0.0008860671543680157,nan,nan
20,105953.13760438949,0.05953137604389491,0.0009152745938825704,103230.74279496002,0.03230742794960029
21,106781.57419795242,0.06781574197952422,0.0010594575427515563,nan,nan
22,105753.07908909996,0.05753079089099966,0.0012240219176721447,nan,nan
23,109592.13503001614,0.09592135030016147,0.0013305265789184146,nan,nan
24,103524.1819227593,0.03524181922759295,0.00169418110026786,nan,nan
25,113430.1899451517,0.13430189945151705,0.0017604018052118924,100939.91693261339,0.009399169326133938
26,111316.24526595033,0.11316245265950342,0.002528573559942986,nan,nan
27,116608.61100727959,0.16608611007279594,0.0030625538884370782,nan,nan
28,115991.13761566365,0.15991137615663664,0.004176051048350547,nan,nan
29,120558.87279414569,0.205588727941457,0.0051113752884652365,nan,nan
30,107478.43579687881,0.07478435796878813,0.0069115312922259295,104418.26634354403,0.044182663435440306
31,113715.181354993,0.1371518135499299,0.006437148634494622,nan,nan
32,114601.70736581826,0.14601707365818273,0.007012607084947186,nan,nan
33,108793.13451248751,0.0879313451248751,0.007763473652656554,nan,nan
34,118010.52565163616,0.18010525651636144,0.007966276912343138,nan,nan
35,118060.14381408705,0.18060143814087048,0.008489549311752461,109248.35017755136,0.09248350177551368
36,109664.69122686589,0.09664691226865885,0.009435386351427598,nan,nan
37,114481.93391395955,0.14481933913959555,0.009704686809342597,nan,nan
38,118992.07647369402,0.18992076473694008,0.010054406977168823,nan,nan
39,111229.45402018743,0.11229454020187424,0.011127088720346458,nan,nan
40,122774.3892453309,0.22774389245330884,0.011300833631264301,105263.5209823151,0.05263520982315084
41,114619.40521269331,0.14619405212693315,0.012546190910684433,nan,nan
42,109793.5688814527,0.09793568881452686,0.012649323349519874,nan,nan
43,113462.40150886562,0.13462401508865618,0.01272072021851305,nan,nan
44,121725.58964312196,0.21725589643121967,0.01296255891297736,nan,nan
45,110763.84453380127,0.10763844533801259,0.014268574122811012,109248.35017755136,0.09248350177551368
46,125713.54243614584,0.25713542436145853,0.014764228645996656,nan,nan
47,111292.78959776329,0.11292789597763297,0.015373816604372991,nan,nan
48,122500.91335111234,0.22500913351112328,0.015245435521464222,nan,nan
49,111632.31792713949,0.11632317927139502,0.016208545652229272,nan,nan
50,108068.68988750665,0.08068689887506664,0.016676788520891248,108981.02577426918,0.0898102577426918
51,112780.10076004133,0.12780100760041324,0.0165367343774216,nan,nan
52,118577.60873892992,0.1857760873892993,0.016796950118633504,nan,nan
53,116403.65250713073,0.16403652507130717,0.01655778771174073,nan,nan
54,108548.22468021589,0.08548224680215899,0.01723432792085263,nan,nan
55,128550.01606586284,0.2855001606586285,0.016568727883500417,109248.35017755136,0.09248350177551368
56,122572.40383146594,0.22572403831465948,0.01874442919601197,nan,nan
57,117410.23147593897,0.17410231475938964,0.01888575609407719,nan,nan
58,115110.6894151441,0.15110689415144085,0.01950542709661797,nan,nan
59,119914.05671740272,0.19914056717402717,0.020004543034061097,nan,nan
60,118099.90974343693,0.18099909743436937,0.020160938993067343,109248.35017755136,0.09248350177551368
61,128852.19355344029,0.28852193553440286,0.02137288539867905,nan,nan
62,111032.69441895299,0.11032694418952982,0.02140059107016572,nan,nan
63,123379.39929927175,0.23379399299271753,0.021826748441191323,nan,nan
64,120871.17299276078,0.20871172992760778,0.021987908468424355,nan,nan
65,115928.92688836393,0.15928926888363937,0.02347051549979533,109248.35017755136,0.09248350177551368
66,126255.49651563662,0.26255496515636634,0.023427692477420377,nan,nan
67,109202.25897633944,0.09202258976339439,0.024034776844144748,nan,nan
68,118765.31684134684,0.18765316841346835,0.024191738561788207,nan,nan
69,108747.43979073342,0.08747439790733424,0.02490333598563812,nan,nan
70,113890.24150664339,0.13890241506643397,0.024767593657159703,107959.13345738227,0.07959133457382261
71,113300.66287334646,0.13300662873346458,0.02510679701409217,nan,nan
72,117603.96205618094,0.17603962056180933,0.024954565545214455,nan,nan
73,115883.4923531114,0.15883492353111395,0.025196058920666703,nan,nan
74,114405.23182711045,0.14405231827110443,0.0270584670430564,nan,nan
75,115445.94971639082,0.15445949716390817,0.027503029723368422,109248.35017755136,0.09248350177551368
76,110650.63759162922,0.10650637591629208,0.02697891934612498,nan,nan
77,107302.60431084069,0.07302604310840688,0.027275682429457795,nan,nan
78,117149.08691270754,0.17149086912707534,0.027802104214477895,nan,nan
79,115738.2600263253,0.15738260026325301,0.027837393235420158,nan,nan
80,110138.37771360215,0.10138377713602154,0.028676737916413286,100267.24859076692,0.00267248590766922
81,112339.5386280442,0.123395386280442,0.028537134345061707,nan,nan
82,113297.79746835348,0.1329779746835349,0.029055089041136448,nan,nan
83,108073.63329512798,0.0807363329512798,0.029060083488959047,nan,nan
84,109941.89489498627,0.0994189489498627,0.029656473412212402,nan,nan
85,113119.90651529998,0.13119906515299973,0.02929486242858008,100230.23473043062,0.0023023473043062292
86,115517.76882660303,0.1551776882660303,0.028516711952933774,nan,nan
87,116895.93415098019,0.16895934150980185,0.029961497724090805,nan,nan
88,110401.31894679464,0.10401318946794635,0.03051212816693585,nan,nan
89,105853.28472842688,0.058532847284268774,0.030531177312355412,nan,nan
90,109274.69089103713,0.09274690891037118,0.03099749182632367,100427.42646244052,0.004274264624405166
91,101922.34608766944,0.019223460876694354,0.029555797814518076,nan,nan
92,108764.38563255612,0.08764385632556126,0.029790438117300186,nan,nan
93,112170.24250771166,0.1217024250771166,0.030741396290358127,nan,nan
94,114851.16322235877,0.14851163222358776,0.029977987006904076,nan,nan
95,104340.40619848088,0.04340406198480884,0.03009030396875421,109248.35017755136,0.09248350177551368
96,116122.46694188695,0.16122466941886948,0.029469676529019675,nan,nan
97,102203.57978148658,0.022035797814865754,0.029650217246337048,nan,nan
98,109166.37767310358,0.09166377673103576,0.029447085942796537,nan,nan
99,112381.6735968572,0.12381673596857201,0.028504926640345332,nan,nan
100,111711.13971960265,0.11711139719602648,0.029764742429094788,109248.35017755136,0.09248350177551368
101,107833.2293004552,0.07833229300455202,0.029426030087302643,nan,nan
