episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,100240.06425418195,0.0024006425418194866,0.24380128620119362,nan,nan
2,100502.30685013965,0.005023068501396555,0.04657215003326958,nan,nan
3,100531.55447724453,0.005315544772445335,4.148635859177369e-06,nan,nan
4,101170.17238778416,0.01170172387784163,3.6466867887450444e-06,nan,nan
5,102952.51233841716,0.02952512338417157,3.901815469043619e-06,102226.15217868812,0.022261521786881122
6,100948.5621680262,0.009485621680261902,5.153602674466284e-06,nan,nan
7,105002.70889212626,0.05002708892126262,6.8354156079863286e-06,nan,nan
8,101674.47568712443,0.016744756871244215,1.2603305863282086e-05,nan,nan
9,102762.21540520004,0.027622154052000303,1.1006176028295677e-05,nan,nan
10,100539.97235176015,0.00539972351760154,1.670359232886708e-05,101671.80765193184,0.016718076519318448
11,101881.49767367184,0.01881497673671828,1.883138823722768e-05,nan,nan
12,100879.03415996373,0.008790341599637319,1.0773357668094023e-05,nan,nan
13,101370.99918534384,0.013709991853438463,8.180684115534415e-06,nan,nan
14,102415.17930921947,0.024151793092194618,8.591756455676162e-06,nan,nan
15,101939.3938864117,0.01939393886411689,8.27237808611825e-06,109248.35017755136,0.09248350177551368
16,101699.81031158271,0.016998103115827057,8.68691423208533e-06,nan,nan
17,103875.78746315403,0.038757874631540234,7.590879159701997e-06,nan,nan
18,102285.03225887028,0.022850322588702898,7.761075202822862e-06,nan,nan
19,101898.27590425797,0.018982759042579733,8.388696820278375e-06,nan,nan
20,102925.35265724879,0.02925352657248781,9.02053797929917e-06,109248.35017755136,0.09248350177551368
21,101310.937040539,0.013109370405389953,7.99119468138208e-06,nan,nan
22,102733.7624097901,0.02733762409790108,8.259771825022351e-06,nan,nan
23,103869.74514980426,0.03869745149804271,8.572875712004168e-06,nan,nan
24,101959.58787482281,0.019595878748228213,9.620824974728985e-06,nan,nan
25,104337.25175395793,0.04337251753957938,9.322050861569168e-06,109248.35017755136,0.09248350177551368
26,103634.26612203605,0.03634266122036056,9.680932308722806e-06,nan,nan
27,105970.71387620745,0.05970713876207445,1.012854079039065e-05,nan,nan
28,104694.87673089618,0.046948767308961914,1.1395408998608461e-05,nan,nan
29,101865.08433527572,0.01865084335275724,1.121298417224952e-05,nan,nan
30,103568.56132189366,0.03568561321893671,1.2087809379588014e-05,109248.35017755136,0.09248350177551368
31,103551.72268868264,0.03551722688682646,1.178685599070359e-05,nan,nan
32,105475.84100743501,0.05475841007435012,1.2201533985523634e-05,nan,nan
33,100346.6622909148,0.0034666229091480094,1.3309263814251504e-05,nan,nan
34,103720.58832158297,0.03720588321582974,1.3607667774443918e-05,nan,nan
35,104114.27238337528,0.041142723833752726,1.2420748033418461e-05,109248.35017755136,0.09248350177551368
36,101927.17595131516,0.01927175951315152,1.2586152661589082e-05,nan,nan
37,102611.7164954035,0.026117164954035044,1.2579475416833293e-05,nan,nan
38,102147.82588227297,0.0214782588227298,1.2558312840721196e-05,nan,nan
39,103549.72986998185,0.03549729869981855,1.2530027243968507e-05,nan,nan
40,104277.23585440834,0.042772358544083344,1.2580930986634203e-05,109248.35017755136,0.09248350177551368
41,105257.39859999304,0.05257398599993035,1.3112897540771747e-05,nan,nan
42,106056.73200578713,0.060567320057871354,1.2803745992260865e-05,nan,nan
43,102797.64853370869,0.027976485337086965,1.3779689547867013e-05,nan,nan
44,102752.46901078997,0.027524690107899596,1.3646694848904051e-05,nan,nan
45,103157.95940748136,0.03157959407481359,1.3177585792470964e-05,109248.35017755136,0.09248350177551368
46,102299.97310346137,0.022999731034613724,1.3959910962913775e-05,nan,nan
47,106352.77633111495,0.06352776331114951,1.3469240155991803e-05,nan,nan
48,101718.01299429717,0.01718012994297169,1.4061316740437438e-05,nan,nan
49,104272.90610361878,0.04272906103618768,1.3745860760138953e-05,nan,nan
50,106668.43791643347,0.06668437916433478,1.4612540273460198e-05,109248.35017755136,0.09248350177551368
