episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,100258.94433893308,0.002589443389330759,0.0012834634724306264,nan,nan
2,100232.2318274327,0.002322318274327051,0.011283055203251435,nan,nan
3,100619.93771568216,0.006199377156821617,0.0015480450903759845,nan,nan
4,100942.12805962678,0.009421280596267678,3.99538112464793e-05,nan,nan
5,101655.4573096601,0.016554573096601022,7.971837578674047e-05,100000.0,0.0
6,100396.00499151726,0.003960049915172625,4.642655555699696e-06,nan,nan
7,103005.40388038266,0.03005403880382662,6.565541237670668e-06,nan,nan
8,100778.90853320902,0.0077890853320901066,0.009186251516360941,nan,nan
9,102405.00964000233,0.024050096400023424,7.227500339148815e-06,nan,nan
10,103271.29751902116,0.032712975190211546,5.803257247541704e-06,100000.0,0.0
11,101310.16533756268,0.013101653375626743,8.613768923811008e-06,nan,nan
12,100871.52748900237,0.008715274890023661,9.64418801571288e-06,nan,nan
13,101346.03967996615,0.0134603967996616,3.77352317237026e-05,nan,nan
14,100787.91534911831,0.007879153491183066,6.7570794835198405e-06,nan,nan
15,100836.88897619731,0.008368889761973142,5.177702259218944e-06,100000.0,0.0
16,100893.52978444305,0.008935297844430368,4.764791891724023e-06,nan,nan
17,102265.12709287176,0.02265127092871766,4.405439329479113e-06,nan,nan
18,100903.31937062187,0.00903319370621869,4.3981788968988055e-06,nan,nan
19,103088.86810151496,0.030888681015149633,5.209175682553384e-06,nan,nan
20,102864.89422034852,0.02864894220348524,5.474101595373719e-06,99976.43694762421,-0.0002356305237578571
21,100857.75546652336,0.008577554665233578,5.4883541169929994e-06,nan,nan
22,103917.27870455185,0.03917278704551852,5.497363673292008e-06,nan,nan
23,112507.00629168432,0.12507006291684308,0.004024539493900791,nan,nan
24,100761.19094462694,0.007611909446269438,2.0114879539201268e-05,nan,nan
25,103915.86263679818,0.03915862636798173,1.826226809908165e-05,101672.23522318271,0.016722352231827164
26,101637.35412881481,0.016373541288148052,2.0805762996667432e-05,nan,nan
27,100724.86940363506,0.007248694036350534,1.7189175135686377e-05,nan,nan
28,104226.17443551267,0.04226174435512675,1.5229404467744041e-05,nan,nan
29,101207.65509743517,0.012076550974351674,1.4469147539113778e-05,nan,nan
30,101475.97143928062,0.014759714392806211,1.5144527082802664e-05,100000.0,0.0
31,107881.24316927449,0.07881243169274477,1.3303444673075808e-05,nan,nan
32,104428.92681811535,0.04428926818115353,1.6424536889572792e-05,nan,nan
33,102555.20183819305,0.02555201838193044,1.578309815364545e-05,nan,nan
34,100326.20747032939,0.0032620747032938713,1.5766557871898597e-05,nan,nan
35,103729.33200897598,0.03729332008975983,1.4697394333652037e-05,107343.84309907921,0.07343843099079206
36,106947.74482131016,0.06947744821310153,1.6425290708796753e-05,nan,nan
37,106130.1016383821,0.061301016383821016,1.8094428530929407e-05,nan,nan
38,102179.03194152078,0.021790319415207815,1.806443155162525e-05,nan,nan
39,103017.75826498424,0.03017758264984227,1.7799585398860924e-05,nan,nan
40,104211.89552804385,0.04211895528043863,1.755081094241616e-05,100114.35435103226,0.0011435435103226421
41,101882.74214105529,0.018827421410552825,1.790153178261192e-05,nan,nan
42,105711.87965812125,0.05711879658121255,1.8084255772607072e-05,nan,nan
43,105693.06396776409,0.05693063967764078,1.931161968446708e-05,nan,nan
44,102218.42411354464,0.02218424113544626,1.931680409865507e-05,nan,nan
45,101467.92236808607,0.014679223680860831,1.9684975186998126e-05,106377.37614860162,0.0637737614860161
46,103530.77938969055,0.035307793896905526,1.9033933300909987e-05,nan,nan
47,105371.59369035643,0.05371593690356424,1.771139118931649e-05,nan,nan
48,102852.75917196293,0.028527591719629264,1.8692776554812905e-05,nan,nan
49,100782.25660525907,0.007822566052590796,1.9700164379182095e-05,nan,nan
50,105337.1823410427,0.05337182341042701,1.9378027543873835e-05,100030.71809191513,0.0003071809191512731
