episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,100215.52307808411,0.002155230780841011,0.22747661816549725,nan,nan
2,103345.9135916635,0.03345913591663496,0.055820575536020725,nan,nan
3,101268.08983414668,0.012680898341466795,0.07378587825300952,nan,nan
4,100723.83183157555,0.007238318315755388,0.05628268183437358,nan,nan
5,101954.20314913563,0.01954203149135636,0.0447531025895307,108481.41927697763,0.08481419276977631
6,103272.05776036195,0.03272057760361946,0.04879153882769894,nan,nan
7,102206.6135326291,0.02206613532629098,0.05455571033413577,nan,nan
8,101012.01311671373,0.01012013116713728,0.05579790110638732,nan,nan
9,101659.84057000942,0.016598405700094077,0.05003524895274803,nan,nan
10,102311.82160471825,0.02311821604718256,0.04905519077172929,108772.42605950937,0.08772426059509364
11,103603.90908082698,0.036039090808269725,0.05268176558419489,nan,nan
12,102754.59662369643,0.02754596623696437,0.059395708777553555,nan,nan
13,102127.14405760587,0.021271440576058565,0.0619209299568825,nan,nan
14,100735.71047964778,0.007357104796477776,0.06170327886272496,nan,nan
15,102939.66316939653,0.029396631693965336,0.05873340806776301,109248.35017755136,0.09248350177551368
16,102872.15939058224,0.028721593905822296,0.06056714605236385,nan,nan
17,101988.6031444818,0.019886031444818153,0.0611247546030264,nan,nan
18,102017.66288494694,0.020176628849469358,0.06020098881341759,nan,nan
19,105110.13060898967,0.0511013060898966,0.06524023065353374,nan,nan
20,103176.62557842846,0.0317662557842846,0.07506805333149026,109248.35017755136,0.09248350177551368
21,101704.40106525343,0.017044010652534247,0.07254918919033151,nan,nan
22,103509.48337686759,0.03509483376867584,0.07242631800151804,nan,nan
23,101706.47379858603,0.017064737985860168,0.07390503713958622,nan,nan
24,101139.00287767623,0.011390028776762318,0.071892134897717,nan,nan
25,101235.91972511781,0.012359197251178067,0.07003260321293034,104085.35629349518,0.04085356293495179
26,103320.41538159954,0.033204153815995285,0.06932397318030031,nan,nan
27,101566.28243788169,0.01566282437881683,0.06858258819142128,nan,nan
28,101332.06673332611,0.013320667333261094,0.06881845825968336,nan,nan
29,104954.82414219677,0.049548241421967676,0.06700947709354424,nan,nan
30,103846.53573953065,0.03846535739530643,0.07719607964760425,100000.0,0.0
31,102286.96041168887,0.022869604116888764,0.07602875119950338,nan,nan
32,101836.76171670826,0.018367617167082573,0.08050283960037728,nan,nan
33,101650.32133990969,0.016503213399096772,0.07754350569706492,nan,nan
34,101069.52891906946,0.010695289190694623,0.0761725719125708,nan,nan
35,102661.02898887632,0.02661028988876324,0.07691155138041027,109248.35017755136,0.09248350177551368
36,100782.61491715652,0.007826149171565211,0.07792580514625357,nan,nan
37,101462.98620671852,0.014629862067185195,0.07599120880393812,nan,nan
38,101671.40037438407,0.01671400374384069,0.07319341007326319,nan,nan
39,103886.22279284772,0.038862227928477155,0.07356978218318651,nan,nan
40,103034.08686602126,0.030340868660212683,0.07547773854934157,100000.0,0.0
41,101850.26021521864,0.018502602152186354,0.07629089191311574,nan,nan
42,104451.05786621108,0.04451057866211072,0.07592548511680425,nan,nan
43,104080.39690006268,0.04080396900062677,0.08644670502679525,nan,nan
44,102411.60474288961,0.02411604742889617,0.08467449936238126,nan,nan
45,102186.51116153442,0.0218651116153441,0.08633867076507383,108215.335880066,0.08215335880065999
46,106579.87961175077,0.06579879611750772,0.08612717853734397,nan,nan
47,100598.14434844116,0.005981443484411653,0.09616522333289097,nan,nan
48,105399.5918016616,0.053995918016616073,0.09584531887644882,nan,nan
49,106571.90130755732,0.06571901307557315,0.10415923685166242,nan,nan
50,100558.9937123395,0.005589937123395172,0.11405680542398242,100243.66631136334,0.0024366631136334416
51,105097.29169753565,0.05097291697535655,0.11388490833230983,nan,nan
52,106489.32313325703,0.0648932313325703,0.11496439907820791,nan,nan
