episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,105393.3141004886,0.053933141004886,0.46796999646798143,nan,nan
2,104396.6734386719,0.04396673438671894,0.45892792059274923,nan,nan
3,104144.34915997868,0.041443491599786775,6.511304087594508e-05,nan,nan
4,100140.73946844296,0.0014073946844295193,3.782455136200864e-05,nan,nan
5,101800.17436287133,0.018001743628713207,3.13403234200044e-05,105595.8938855705,0.05595893885570513
6,103463.21754444214,0.03463217544442143,2.7732508609520004e-05,nan,nan
7,102916.78933666805,0.029167893366680575,2.7598706599830122e-05,nan,nan
8,101634.75583372888,0.016347558337288737,3.361878032529374e-05,nan,nan
9,103509.2489287551,0.03509248928755104,2.7957257417558146e-05,nan,nan
10,101911.49173402114,0.019114917340211424,2.812455311891592e-05,106419.46318983464,0.0641946318983464
11,108877.46744083993,0.08877467440839926,3.197418874164138e-05,nan,nan
12,104372.87400503921,0.04372874005039207,3.8067356961581855e-05,nan,nan
13,103780.955406605,0.03780955406605013,3.6124109513169334e-05,nan,nan
14,108606.66218041879,0.08606662180418789,3.6622439277285556e-05,nan,nan
15,106704.1616449719,0.06704161644971895,3.874066087555331e-05,121847.07553460688,0.21847075534606875
16,108777.00077821725,0.08777000778217237,4.1292823934456595e-05,nan,nan
17,105700.45540849859,0.05700455408498595,4.135078368634092e-05,nan,nan
18,111209.45364128296,0.11209453641282963,4.3343032741576006e-05,nan,nan
19,102295.70073345839,0.022957007334583945,4.917019990153598e-05,nan,nan
20,104945.47940617085,0.049454794061708496,4.978442130446804e-05,121045.33387368766,0.21045333873687655
21,112382.12217924772,0.12382122179247723,4.697166041344658e-05,nan,nan
22,107081.70339394492,0.07081703393944916,5.5917142508454175e-05,nan,nan
23,104913.24323146441,0.04913243231464404,5.762942836174118e-05,nan,nan
24,116428.04652518744,0.16428046525187434,5.7448708288650024e-05,nan,nan
25,122645.60604658411,0.2264560604658412,7.518256843601004e-05,99688.95170026396,-0.0031104829973603865
26,102298.66184064856,0.022986618406485748,9.96210306088993e-05,nan,nan
27,122725.83207251951,0.22725832072519503,9.322428038258577e-05,nan,nan
28,116951.46495617468,0.16951464956174678,0.0001160898431452587,nan,nan
29,108390.45409948459,0.08390454099484579,0.0001233994209983475,nan,nan
30,121032.85047954875,0.21032850479548748,0.00013292724977932214,100000.0,0.0
31,107861.827205013,0.07861827205013006,0.00013968603433392815,nan,nan
32,115614.22700400374,0.15614227004003745,0.00014173122834517293,nan,nan
33,115188.65436172983,0.15188654361729825,0.00014536312711207667,nan,nan
34,105475.38097011563,0.054753809701156175,0.00014633694809524617,nan,nan
