episode,train_final_value,train_total_return,avg_td_loss,val_final_value,val_total_return
1,100472.03817123144,0.004720381712314481,0.49940349347615504,nan,nan
2,103810.07153431153,0.03810071534311521,0.08365198361459626,nan,nan
3,102194.6789416237,0.021946789416237067,0.00036716850866473855,nan,nan
4,102704.89426421745,0.0270489426421745,0.00029342425297498127,nan,nan
5,101114.99372796454,0.011149937279645306,0.00026026102330664624,100000.0,0.0
6,104115.13329841243,0.04115133298412421,0.00023809157151702742,nan,nan
7,102013.00818980821,0.020130081898082075,0.00027959261380720407,nan,nan
8,100830.20029894735,0.00830200298947359,0.0004042422538604138,nan,nan
9,101294.75529006029,0.012947552900602899,0.00026719238565198607,nan,nan
10,100783.2964074239,0.007832964074238946,0.0002641110189718198,100003.15044722747,3.150447227473485e-05
11,102332.27780787383,0.023322778078738393,0.00033100644525979985,nan,nan
12,100752.31392697254,0.007523139269725254,0.00032082585924764553,nan,nan
13,100568.49265624327,0.0056849265624325795,0.00027844902075197946,nan,nan
14,102976.66749729168,0.02976667497291685,0.0002724268738890565,nan,nan
15,104169.95421912964,0.04169954219129646,0.00025368528042378084,100000.0,0.0
16,105491.05925012309,0.05491059250123076,0.0002777184059946215,nan,nan
17,102219.29304789737,0.022192930478973638,0.00021608858275555315,nan,nan
18,101290.08541349259,0.01290085413492581,0.00019807501733395502,nan,nan
19,101502.97172367292,0.0150297172367293,0.0002184915615199714,nan,nan
20,101281.67851084219,0.01281678510842199,0.00026921484832673936,100000.0,0.0
21,101679.27507338236,0.01679275073382369,0.00017184636096866936,nan,nan
22,100352.06839641681,0.0035206839641681587,0.00019203770142047917,nan,nan
23,101837.83970401013,0.018378397040101246,0.00022956599173329977,nan,nan
24,104725.4233619317,0.04725423361931691,0.00018857807929149238,nan,nan
25,101424.99130707848,0.014249913070784714,0.0001817197839461571,100000.0,0.0
26,102927.9075165749,0.029279075165749013,0.0001909644153116976,nan,nan
27,108453.96539285869,0.08453965392858698,0.00021066280066417008,nan,nan
28,102644.76298954597,0.02644762989545968,0.0001564760098323131,nan,nan
29,104507.27171040117,0.04507271710401173,0.0001674081001164677,nan,nan
30,107025.68352766428,0.07025683527664284,0.00017093162092752528,118496.70035510253,0.18496700355102536
31,108029.06008670067,0.08029060086700679,0.00014562943891894317,nan,nan
32,101783.08023910713,0.017830802391071376,0.0001624916185285085,nan,nan
33,104495.09441700854,0.044950944170085494,0.00013319948923583817,nan,nan
34,101865.27102547072,0.01865271025470716,0.00014225827522097137,nan,nan
35,106681.87102303118,0.06681871023031194,0.00013033241178234855,100000.0,0.0
36,110965.08319361674,0.10965083193616731,0.00015861311469261594,nan,nan
37,101810.23796224041,0.01810237962240402,0.00014284889144200946,nan,nan
38,103804.68299362375,0.038046829936237536,0.0001521906532392806,nan,nan
39,105200.13123528495,0.05200131235284955,0.0001219721887441029,nan,nan
40,111049.07988003765,0.11049079880037649,0.00015335601569027392,100000.0,0.0
41,105482.83116049193,0.0548283116049193,0.00015887612428996652,nan,nan
42,104747.95932402591,0.04747959324025919,0.0001392210595056773,nan,nan
43,107330.0571384775,0.07330057138477497,0.00014564349512369762,nan,nan
44,113383.81061942308,0.13383810619423087,0.00015980871507854968,nan,nan
45,102838.74974735474,0.028387497473547407,0.0001557731433442797,100000.0,0.0
46,106963.08312629056,0.06963083126290548,0.0001330430116373425,nan,nan
47,110686.03336700815,0.10686033367008152,0.00012204033068108804,nan,nan
48,106245.56059227679,0.06245560592276789,0.0001272424004422094,nan,nan
49,104982.50482299044,0.0498250482299043,0.0001345839281796798,nan,nan
50,108551.46346492015,0.0855146346492015,0.00013603555794210775,108839.16540718087,0.08839165407180882
